ID,First Name,Last Name,Gender,Contact No,Location,DOB,Salary
1,Apple,Tyler,F,97711111,Manila,1/11/1990,12000.5
2,Banana,Cruz,M,97711110,Cebu,10/29/1990,12000
3,Citrus,Hard,F,77778777,Bulacan,4/4/1990,15772
4,Dalandan,Cruz,F,41545424,Batangas,10/11/1990,15452.2
5,Eggplant,Nemesis,M,12741442,Manila,7/11/1990,45145.2
6,Fig,Hard,M,66162912,Manila,10/12/1990,45528.33
7,Guava,Yuta,M,26662912,Cebu,10/11/1990,12312.12
8,Hotdog,Hamilton,M,42177541,Batangas,10/23/1990,65127
9,Ice,Hans,F,44545445,Antipolo,10/11/1991,12555
10,Jaguar,Pangi,M,77741157,Davao,10/11/1990,15444
11,Kilo,Yuta,M,29999888,Siargao,6/12/1990,10000
12,Lima,Wasp,M,22234445,Cebu,10/11/1990,25411
13,Manga,Ordeal,F,99958887,Davao,10/10/1990,15455.52
14,Noir,Mana,M,22236664,Manila,10/1/1990,154412
15,Oman,Toner,M,15952364,Antipolo,10/11/1989,35000
